acid,acname,asid,n_ae,first_date,last_date,crtid,crtname
C10010,グラビテーション,C2336,13,2000-10-04,2001-01-10,ACRT00944,村上真紀
C12657,ヒピラくん 原作/大友克洋,C3943,10,2009-12-21,2009-12-24,ACRT00733,大友克洋
C12663,カウボーイ ビバップ[WOWOW放送版],C2111,26,1998-10-24,1999-04-24,ACRT01173,矢立肇
C12681,ドラえもん［新］,,224,1999-12-03,2005-03-18,ACRT01283,藤子・F・不二雄
C13191,HUNTER × HUNTER[新],C2136,149,2011-10-02,2014-09-24,ACRT00647,冨樫義博
C13530,Panty ＆ Stocking with Garterbelt,C4437,13,2010-10-02,2010-12-25,ACRT00037,GAINAX
C13716,ちび★デビ!,C4547,75,2011-10-10,2014-02-17,ACRT01228,篠塚ひろむ
C13740,トリコ,C3598,147,2011-04-03,2014-03-30,ACRT00848,島袋光年
C14003,聖闘士星矢 Ω,C6890,97,2012-04-01,2014-03-30,ACRT01326,車田正美
C14559,義風堂々! 兼続と慶次,C5610,25,2013-07-03,2013-12-18,ACRT00670,原哲夫
C14559,義風堂々! 兼続と慶次,C5610,25,2013-07-03,2013-12-18,ACRT00716,堀江信彦
C14559,義風堂々! 兼続と慶次,C5610,25,2013-07-03,2013-12-18,ACRT01040,武村勇治
C14619,WHITE ALBUM2,C3481,13,2013-10-06,2013-12-29,ACRT00007,AQUAPLUS
C14651,デュエル・マスターズ ビクトリー V3,C2650,51,2013-04-06,2014-03-29,ACRT00958,松本しげのぶ
C14653,東京レイヴンズ,C5657,24,2013-10-09,2014-03-26,ACRT00142,あざの耕平
C14653,東京レイヴンズ,C5657,24,2013-10-09,2014-03-26,ACRT00196,すみ兵
C14655,エんエんニコリ,C5595,1,2013-01-18,2013-01-18,ACRT00073,Mサンバディ
C14660,ダンボール 戦機 WARS[ウォーズ],C4476,37,2013-04-03,2013-12-25,ACRT00534,レベルファイブ
C14660,ダンボール 戦機 WARS[ウォーズ],C4476,37,2013-04-03,2013-12-25,ACRT00910,日野晃博
C14662,ぢべたぐらし あひるの生活,C5646,27,2013-03-31,2013-11-24,ACRT00486,マツダユカ
C14666,凪のあすから,C5658,26,2013-10-03,2014-04-03,ACRT00088,Project-118
C14670,のんのんびより,C5660,12,2013-10-08,2013-12-24,ACRT00146,あっと
C14695,アイカツ! アイドルカツドウ!,C5540,179,2012-10-08,2016-03-31,ACRT00368,サンライズ
C14695,アイカツ! アイドルカツドウ!,C5540,179,2012-10-08,2016-03-31,ACRT00446,バンダイ
C14701,宇宙兄弟,C5543,101,2012-04-01,2014-03-22,ACRT00793,小山宙哉
C14720,黒魔女さんが通る!!,C5553,60,2012-04-04,2014-02-12,ACRT01178,石崎洋司
C14720,黒魔女さんが通る!!,C5553,60,2012-04-04,2014-02-12,ACRT01296,藤田香
C14727,しまじろうのわお!,C1497,243,2012-04-02,2016-12-24,ACRT00477,ベネッセコーポレーション
C14742,革命機　ヴァルヴレイヴ　Valvrave　the Liberator　[第2期],C5604,12,2013-10-11,2013-12-27,ACRT00368,サンライズ
C14749,DiABOLiK LOVERS,C5650,13,2013-09-16,2013-12-09,ACRT00099,Rejet）
